CMDLINE /home/gourliek/anaconda3/envs/ent15y/bin/python3.9 profile_test.py
MEM 2174.328125 1719525998.7712
MEM 2310.328125 1719525998.8716
MEM 2448.328125 1719525998.9719
MEM 2584.328125 1719525999.0722
MEM 2716.328125 1719525999.1727
MEM 2854.328125 1719525999.2730
MEM 2994.328125 1719525999.3734
MEM 3132.328125 1719525999.4738
MEM 3268.328125 1719525999.5740
MEM 3408.328125 1719525999.6743
MEM 3546.328125 1719525999.7746
MEM 3618.703125 1719525999.8750
MEM 3618.703125 1719525999.9754
MEM 3618.828125 1719526000.0757
MEM 3618.953125 1719526000.1761
MEM 3618.953125 1719526000.2766
MEM 3618.953125 1719526000.3770
MEM 3618.953125 1719526000.4776
MEM 3618.953125 1719526000.5780
MEM 3618.953125 1719526000.6863
MEM 3618.953125 1719526000.7868
MEM 3618.953125 1719526000.8871
MEM 3618.953125 1719526000.9875
MEM 3618.953125 1719526001.0879
MEM 3618.953125 1719526001.1883
MEM 3618.953125 1719526001.2887
MEM 3619.078125 1719526001.3891
MEM 3619.078125 1719526001.4897
MEM 3619.078125 1719526001.5901
MEM 3619.078125 1719526001.6906
MEM 3619.078125 1719526001.7909
MEM 3619.078125 1719526001.8913
MEM 3619.078125 1719526001.9917
MEM 3619.078125 1719526002.0922
MEM 3619.078125 1719526002.1928
MEM 3619.078125 1719526002.2932
MEM 3619.078125 1719526002.3935
MEM 3619.078125 1719526002.4939
MEM 3619.078125 1719526002.5943
MEM 3619.078125 1719526002.6947
MEM 3619.078125 1719526002.7951
MEM 3619.078125 1719526002.8956
MEM 3619.078125 1719526002.9960
MEM 3619.078125 1719526003.0963
MEM 3619.078125 1719526003.1968
MEM 3619.078125 1719526003.2972
MEM 3619.078125 1719526003.3976
MEM 3619.078125 1719526003.4979
MEM 3619.078125 1719526003.5983
MEM 3619.078125 1719526003.6987
MEM 3619.078125 1719526003.7995
MEM 3619.078125 1719526003.8999
MEM 3619.078125 1719526004.0002
MEM 3619.078125 1719526004.1006
MEM 3619.078125 1719526004.2010
MEM 3619.078125 1719526004.3014
MEM 3619.078125 1719526004.4019
MEM 3619.078125 1719526004.5023
MEM 3619.078125 1719526004.6027
MEM 3619.078125 1719526004.7032
MEM 3619.078125 1719526004.8035
MEM 3619.203125 1719526004.9039
MEM 3902.828125 1719526005.0043
MEM 4224.453125 1719526005.1046
MEM 4578.828125 1719526005.2050
MEM 4939.078125 1719526005.3053
MEM 5192.953125 1719526005.4058
MEM 5192.953125 1719526005.5061
MEM 5192.953125 1719526005.6065
MEM 5211.203125 1719526005.7069
MEM 5211.203125 1719526005.8074
MEM 5211.203125 1719526005.9078
MEM 5211.203125 1719526006.0082
MEM 5211.203125 1719526006.1086
MEM 5211.203125 1719526006.2089
MEM 5211.203125 1719526006.3093
MEM 5806.199219 1719526006.4104
MEM 6752.324219 1719526006.5108
MEM 6752.699219 1719526006.6112
MEM 6753.449219 1719526006.7115
MEM 5465.894531 1719526006.8118
MEM 5551.242188 1719526006.9123
MEM 5981.992188 1719526007.0127
MEM 6169.367188 1719526007.1131
MEM 6346.867188 1719526007.2135
MEM 6526.242188 1719526007.3139
MEM 6709.742188 1719526007.4143
MEM 7097.644531 1719526007.5147
MEM 6778.042969 1719526007.6223
MEM 7009.042969 1719526007.7227
MEM 7230.417969 1719526007.8231
MEM 7448.042969 1719526007.9237
MEM 7514.167969 1719526008.0241
MEM 7516.917969 1719526008.1246
MEM 7519.792969 1719526008.2251
MEM 7519.792969 1719526008.3255
MEM 7520.042969 1719526008.4259
MEM 7520.042969 1719526008.5262
MEM 7520.042969 1719526008.6266
MEM 7520.042969 1719526008.7269
MEM 7520.042969 1719526008.8273
MEM 7520.042969 1719526008.9277
MEM 7520.792969 1719526009.0281
MEM 7520.792969 1719526009.1285
MEM 7520.792969 1719526009.2288
MEM 7521.167969 1719526009.3292
MEM 7521.542969 1719526009.4296
